x_value,total_1,total_2
146,1078,1084
147,1078,1081
148,1077,1085
149,1082,1083
150,1078,1084
151,1080,1083
152,1083,1086
153,1089,1083
154,1084,1085
155,1088,1085
156,1086,1084
157,1085,1084
158,1080,1080
159,1074,1082
160,1074,1082
161,1077,1087
162,1073,1092
163,1078,1095
164,1075,1091
165,1070,1086
166,1066,1092
167,1067,1088
168,1068,1092
169,1064,1098
170,1071,1094
171,1065,1096
172,1073,1093
173,1078,1093
174,1078,1095
175,1084,1090
176,1088,1086
177,1095,1091
178,1101,1090
179,1109,1086
180,1106,1091
181,1110,1090
182,1108,1094
183,1105,1100
184,1099,1099
185,1107,1098
186,1105,1103
187,1109,1103
188,1105,1105
189,1102,1106
190,1110,1103
191,1117,1099
192,1112,1105
193,1115,1101
194,1119,1107
195,1126,1102
196,1121,1097
197,1121,1097
198,1124,1095
199,1121,1093
200,1116,1088
201,1110,1086
202,1106,1092
203,1103,1097
204,1107,1095
205,1105,1092
206,1102,1093
207,1101,1096
208,1097,1100
209,1097,1095
210,1101,1096
211,1098,1096
212,1102,1094
213,1110,1093
214,1107,1096
215,1102,1099
216,1108,1097
217,1110,1098
218,1113,1101
219,1110,1106
220,1117,1108
221,1116,1110
222,1121,1107
223,1128,1108
224,1133,1103
225,1129,1104
226,1124,1106
227,1125,1104
228,1120,1102
229,1117,1105
230,1120,1105
231,1123,1107
232,1125,1107
233,1132,1103
234,1134,1107
235,1139,1107
236,1139,1102
237,1137,1097
238,1139,1099
239,1136,1096
240,1135,1092
241,1135,1087
242,1143,1082
243,1151,1081
244,1151,1080
245,1158,1085
246,1165,1085
247,1159,1084
248,1163,1083
249,1162,1088
250,1161,1084
251,1169,1086
252,1163,1092
253,1164,1098
254,1161,1098
255,1169,1104
256,1169,1107
257,1175,1110
258,1180,1112
259,1178,1112
260,1173,1118
261,1174,1115
262,1169,1121
263,1175,1116
264,1181,1118
265,1179,1122
266,1179,1126
267,1181,1132
268,1184,1134
269,1186,1140
270,1181,1142
271,1185,1142
272,1186,1145
273,1181,1148
274,1179,1144
275,1185,1142
276,1182,1139
277,1183,1142
278,1177,1143
279,1173,1143
280,1171,1142
281,1178,1138
282,1172,1134
283,1170,1132
284,1165,1136
285,1162,1136
286,1168,1138
287,1166,1144
288,1167,1148
289,1163,1149
290,1157,1144
291,1158,1150
292,1163,1146
293,1169,1149
294,1164,1151
295,1168,1154
296,1167,1149
297,1172,1149
298,1167,1155
299,1167,1156
300,1163,1152
301,1163,1150
302,1170,1148
303,1174,1143
304,1170,1149
305,1175,1149
306,1171,1152
307,1173,1150
308,1173,1156
309,1180,1153
310,1177,1157
311,1171,1158
312,1173,1154
313,1181,1154
314,1177,1149
315,1183,1153
316,1181,1154
317,1183,1160
318,1188,1157
319,1193,1162
320,1190,1168
321,1188,1171
322,1187,1170
323,1184,1169
324,1189,1174
325,1196,1176
326,1191,1180
327,1193,1179
328,1195,1178
329,1199,1178
330,1195,1184
331,1195,1190
332,1203,1196
333,1205,1191
334,1207,1191
335,1202,1195
336,1197,1194
337,1197,1196
338,1197,1196
339,1198,1192
340,1196,1190
341,1204,1194
342,1208,1191
343,1202,1188
344,1206,1185
345,1207,1181
346,1213,1181
347,1208,1187
348,1215,1189
349,1219,1190
350,1224,1187
351,1227,1185
352,1226,1190
353,1223,1187
354,1220,1182
355,1226,1184
356,1224,1181
357,1230,1184
358,1236,1182
359,1234,1177
360,1235,1179
361,1237,1175
362,1239,1173
363,1243,1179
364,1246,1181
365,1243,1176
366,1242,1177
367,1246,1173
368,1253,1172
369,1254,1171
370,1256,1168
371,1258,1163
